chr	start	end	strand	gene
chr1	245152984	245156984	+	KIF26B
chr1	1306596	1310596	+	PUSL1
chr1	1722357	1726357	-	CDK11A
chr1	1572863	1576863	-	SSU72
chr1	1306579	1310579	+	PUSL1
chr1	1889087	1893087	-	GNB1
chr1	1433689	1437689	+	VWA1
chr1	1889117	1893117	-	GNB1
chr1	2001786	2005786	-	CFAP74
chr1	1171879	1175879	+	TTLL10
chr1	2389554	2393554	-	MORN1
chr1	2465450	2469450	+	PLCH2
chr1	2474288	2478288	+	PLCH2
chr1	2631016	2635016	-	MMEL1
chr1	2474314	2478314	+	PLCH2
chr1	2798868	2802868	-	TTC34
chr1	3650515	3654515	+	TP73
chr1	3609508	3613508	-	MEGF6
chr1	3650564	3654564	+	TP73
chr1	4652608	4656608	+	AJAP1
chr1	6024332	6028332	+	KCNAB2
chr1	5990425	5994425	-	NPHP4
chr1	6178321	6182321	-	CHD5
chr1	5990675	5994675	+	KCNAB2
chr1	6699816	6703816	-	DNAJC11
chr1	6552513	6556513	-	NOL9
chr1	6783323	6787323	+	CAMTA1
chr1	7702735	7706735	+	CAMTA1
chr1	7667729	7671729	+	CAMTA1
chr1	7667764	7671764	+	CAMTA1
chr1	7667743	7671743	+	CAMTA1
chr1	7678087	7682087	+	CAMTA1
chr1	9070259	9074259	-	SLC2A5
chr1	9290893	9294893	+	SPSB1
chr1	9067635	9071635	-	SLC2A5
chr1	10030957	10034957	+	UBE4B
chr1	10208569	10212569	+	KIF1B
chr1	10208705	10212705	+	KIF1B
chr1	10209615	10213615	+	KIF1B
chr1	9941474	9945474	+	NMNAT1
chr1	9649730	9653730	+	PIK3CD
chr1	9940922	9944922	+	NMNAT1
chr1	9689466	9693466	+	PIK3CD
chr1	9687543	9691543	+	PIK3CD
chr1	9537464	9541464	+	SLC25A33
chr1	10794646	10798646	-	CASZ1
chr1	11260551	11264551	-	MTOR
chr1	12228029	12232029	+	VPS13D
chr1	12164990	12168990	+	TNFRSF1B
chr1	11801677	11805677	-	MTHFR
chr1	11662199	11666199	+	FBXO6
chr1	11803964	11807964	-	MTHFR
chr1	13369999	13373999	-	PRAMEF19
chr1	13512003	13516003	-	LRRC38
chr1	13702854	13706854	+	PRDM2
chr1	13747414	13751414	+	PRDM2
chr1	13698187	13702187	+	PRDM2
chr1	15245224	15249224	+	FHAD1
chr1	14927799	14931799	+	KAZN
chr1	15151746	15155746	+	TMEM51
chr1	15150531	15154531	+	TMEM51
chr1	14922128	14926128	+	KAZN
chr1	15150565	15154565	+	TMEM51
chr1	14927665	14931665	+	KAZN
chr1	15454731	15458731	+	CELA2A
chr1	16350480	16354480	-	FBXO42
chr1	16365241	16369241	+	SZRD1
chr1	15845706	15849706	+	SPEN
chr1	17578552	17582552	+	ARHGEF10L
chr1	17616312	17620312	+	ARHGEF10L
chr1	17436536	17440536	-	RCC2
chr1	17537697	17541697	+	ARHGEF10L
chr1	17437677	17441677	-	RCC2
chr1	17052032	17056032	-	SDHB
chr1	18478929	18482929	+	KLHDC7A
chr1	18105797	18109797	+	IGSF21
chr1	18628845	18632845	+	PAX7
chr1	19797916	19801916	-	TMCO4
chr1	19483539	19487539	-	CAPZB
chr1	19482295	19486295	-	CAPZB
chr1	19797349	19801349	-	TMCO4
chr1	19208266	19212266	-	UBR4
chr1	19272122	19276122	-	AKR7L
chr1	20288874	20292874	+	VWA5B1
chr1	20184518	20188518	-	PLA2G2C
chr1	20716007	20720007	-	KIF17
chr1	21667357	21671357	-	RAP1GAP
chr1	21781199	21785199	-	USP48
chr1	21935310	21939310	-	HSPG2
chr1	21781149	21785149	-	USP48
chr1	21288215	21292215	-	ECE1
chr1	21649898	21653898	-	RAP1GAP
chr1	21343504	21347504	-	ECE1
chr1	21277615	21281615	-	ECE1
chr1	21288463	21292463	-	ECE1
chr1	22708837	22712837	+	EPHB2
chr1	22708838	22712838	+	EPHB2
chr1	23482179	23486179	-	ASAP3
chr1	23342284	23346284	-	HNRNPR
chr1	23866290	23870290	-	FUCA1
chr1	23215502	23219502	-	HTR1D
chr1	24411772	24415772	-	STPG1
chr1	24928276	24932276	-	RUNX3
chr1	24500350	24504350	+	RCAN3
chr1	24500896	24504896	+	RCAN3
chr1	24963010	24967010	-	RUNX3
chr1	24743446	24747446	+	CLIC4
chr1	24505593	24509593	+	RCAN3
chr1	24500835	24504835	+	RCAN3
chr1	24500343	24504343	+	RCAN3
chr1	24411782	24415782	-	STPG1
chr1	24413097	24417097	-	STPG1
chr1	25270508	25274508	+	RHD
chr1	25270485	25274485	+	RHD
chr1	25817905	25821905	+	MTFR1L
chr1	25336254	25340254	-	RSRP1
chr1	25818827	25822827	+	MTFR1L
chr1	25817953	25821953	+	MTFR1L
chr1	25541605	25545605	+	LDLRAP1
chr1	25818192	25822192	+	MTFR1L
chr1	25614790	25618790	+	MAN1C1
chr1	26991691	26995691	+	TRNP1
chr1	26694014	26698014	+	ARID1A
chr1	26470439	26474439	+	HMGN2
chr1	27153125	27157125	-	SLC9A1
chr1	26352130	26356130	-	CRYBG2
chr1	28086610	28090610	-	EYA3
chr1	28191856	28195856	-	PTAFR
chr1	28191936	28195936	-	PTAFR
chr1	28086637	28090637	-	EYA3
chr1	27390621	27394621	+	GPR3
chr1	27771218	27775218	+	STX12
chr1	28367739	28371739	+	PHACTR4
chr1	28666783	28670783	+	GMEB1
chr1	28885090	28889090	+	EPB41
chr1	29228934	29232934	-	MECR
chr1	28885099	28889099	+	EPB41
chr1	28810169	28814169	+	OPRD1
chr1	28436149	28440149	+	PHACTR4
chr1	28551084	28555084	+	TRNAU1AP
chr1	28912575	28916575	+	EPB41
chr1	28912568	28916568	+	EPB41
chr1	31294981	31298981	+	ZCCHC17
chr1	31063717	31067717	-	PUM1
chr1	31295031	31299031	+	ZCCHC17
chr1	31237887	31241887	-	NKAIN1
chr1	32392441	32396441	-	BSDC1
chr1	32106055	32110055	+	KPNA6
chr1	32648932	32652932	-	ZBTB8OS
chr1	32899389	32903389	-	TMEM54
chr1	33034883	33038883	-	AK2
chr1	33180043	33184043	-	TRIM62
chr1	33034911	33038911	-	AK2
chr1	32763626	32767626	+	KIAA1522
chr1	33174550	33178550	-	TRIM62
chr1	33267692	33271692	+	ZNF362
chr1	32648550	32652550	-	ZBTB8OS
chr1	32739829	32743829	+	KIAA1522
chr1	33254491	33258491	+	ZNF362
chr1	32751998	32755998	+	KIAA1522
chr1	33429095	33433095	-	PHC2
chr1	34164992	34168992	+	C1orf94
chr1	34174906	34178906	+	C1orf94
chr1	35266708	35270708	+	ZMYM4
chr1	35029945	35033945	-	ZMYM6
chr1	35555403	35559403	-	KIAA0319L
chr1	35929104	35933104	+	AGO3
chr1	35881208	35885208	+	AGO1
chr1	36154159	36158159	+	MAP7D1
chr1	36448451	36452451	-	OSCP1
chr1	36448485	36452485	-	OSCP1
chr1	35881194	35885194	+	AGO1
chr1	36304367	36308367	+	SH3D21
chr1	35867807	35871807	+	AGO1
chr1	37632892	37636892	-	RSPO1
chr1	37032515	37036515	-	GRIK3
chr1	37945057	37949057	-	INPP5B
chr1	37944869	37948869	-	INPP5B
chr1	37929739	37933739	-	INPP5B
chr1	37940264	37944264	-	INPP5B
chr1	37945053	37949053	-	INPP5B
chr1	39082166	39086166	+	MACF1
chr1	38927519	38931519	-	RHBDL2
chr1	38939830	38943830	-	RHBDL2
chr1	40159386	40163386	+	RLF
chr1	40663682	40667682	-	RIMS3
chr1	40689703	40693703	+	NFYC
chr1	40707365	40711365	+	NFYC
chr1	40736835	40740835	+	NFYC
chr1	40690007	40694007	+	NFYC
chr1	41159432	41163432	-	SCMH1
chr1	41240306	41244306	-	SCMH1
chr1	41916922	41920922	-	HIVEP3
chr1	41161017	41165017	-	SCMH1
chr1	42454106	42458106	+	CCDC30
chr1	42333235	42337235	-	FOXJ3
chr1	42461285	42465285	+	CCDC30
chr1	42531019	42535019	+	CCDC30
chr1	42454493	42458493	+	PPCS
chr1	42333215	42337215	-	FOXJ3
chr1	42332955	42336955	-	FOXJ3
chr1	42333880	42337880	-	FOXJ3
chr1	43705535	43709535	+	ST3GAL3
chr1	43387800	43391800	-	MED8
chr1	43170329	43174329	+	CFAP57
chr1	43705496	43709496	+	ST3GAL3
chr1	44841253	44845253	-	PTCH2
chr1	44353279	44357279	-	ERI3
chr1	44840944	44844944	-	PTCH2
chr1	44403159	44407159	+	RNF220
chr1	44672713	44676713	+	ARMH1
chr1	44404791	44408791	+	RNF220
chr1	44403254	44407254	+	RNF220
chr1	44984722	44988722	-	EIF2B3
chr1	44353257	44357257	-	ERI3
chr1	44984595	44988595	-	EIF2B3
chr1	44422000	44426000	+	RNF220
chr1	45489163	45493163	-	TESK2
chr1	45582040	45586040	+	NASP
chr1	45748653	45752653	-	IPP
chr1	45801611	45805611	+	MAST2
chr1	45748813	45752813	-	IPP
chr1	45801606	45805606	+	MAST2
chr1	45801612	45805612	+	MAST2
chr1	45862347	45866347	+	MAST2
chr1	45581987	45585987	+	NASP
chr1	46245762	46249762	+	RAD54L
chr1	46392316	46396316	+	FAAH
chr1	46663878	46667878	-	ATPAF1
chr1	46245694	46249694	+	RAD54L
chr1	46666427	46670427	-	ATPAF1
chr1	46245687	46249687	+	RAD54L
chr1	46666443	46670443	-	ATPAF1
chr1	47995385	47999385	-	TRABD2B
chr1	48774891	48778891	-	BEND5
chr1	48774969	48778969	-	BEND5
chr1	48470204	48474204	-	SPATA6
chr1	48470208	48474208	-	SPATA6
chr1	50106919	50110919	+	ELAVL4
chr1	50046054	50050054	+	ELAVL4
chr1	50104230	50108230	+	ELAVL4
chr1	50107832	50111832	+	ELAVL4
chr1	50101908	50105908	+	ELAVL4
chr1	50958267	50962267	-	FAF1
chr1	51100227	51104227	+	C1orf185
chr1	51234272	51238272	+	RNF11
chr1	51615091	51619091	+	OSBPL9
chr1	52140088	52144088	+	ZFYVE9
chr1	52053191	52057191	-	TXNDC12
chr1	51727849	51731849	+	OSBPL9
chr1	52140093	52144093	+	ZFYVE9
chr1	53218639	53222639	-	CZIB
chr1	53060212	53064212	+	PODN
chr1	52925228	52929228	+	SCP2
chr1	52925275	52929275	+	SCP2
chr1	52724452	52728452	+	ZYG11B
chr1	53218634	53222634	-	CZIB
chr1	52696347	52700347	-	COA7
chr1	54151181	54155181	-	CDCP2
chr1	53737164	53741164	-	GLIS1
chr1	54404394	54408394	-	SSBP3
chr1	53887797	53891797	-	YIPF1
chr1	53732204	53736204	-	GLIS1
chr1	54639739	54643739	+	MROH7
chr1	54639785	54643785	+	MROH7
chr1	55213364	55217364	-	USP24
chr1	54799323	54803323	-	TTC22
chr1	55037547	55041547	+	PCSK9
chr1	57422060	57426060	-	DAB1
chr1	57422754	57426754	-	DAB1
chr1	57422306	57426306	-	DAB1
chr1	57421112	57425112	-	DAB1
chr1	56852796	56856796	+	C8A
chr1	56817404	56821404	-	FYB2
chr1	59308031	59312031	+	FGGY
chr1	59295093	59299093	+	FGGY
chr1	59513629	59517629	+	FGGY
chr1	59294812	59298812	+	FGGY
chr1	59924773	59928773	-	CYP2J2
chr1	60071770	60075770	-	C1orf87
chr1	61080560	61084560	+	NFIA
chr1	61075226	61079226	+	NFIA
chr1	61079738	61083738	+	NFIA
chr1	62317434	62321434	-	KANK4
chr1	62686368	62690368	-	DOCK7
chr1	62686386	62690386	-	DOCK7
chr1	63521524	63525524	+	EFCAB7
chr1	64743074	64747074	+	RAVER2
chr1	64964936	64968936	-	JAK1
chr1	64468128	64472128	+	CACHD1
chr1	64964549	64968549	-	JAK1
chr1	64742972	64746972	+	RAVER2
chr1	64201622	64205622	+	UBE2U
chr1	64503913	64507913	+	CACHD1
chr1	65418651	65422651	+	LEPR
chr1	65262693	65266693	+	DNAJC6
chr1	65307542	65311542	+	DNAJC6
chr1	65523650	65527650	+	LEPR
chr1	65523688	65527688	+	LEPR
chr1	65262748	65266748	+	DNAJC6
chr1	65418667	65422667	+	LEPR
chr1	66531592	66535592	+	SGIP1
chr1	66532152	66536152	+	SGIP1
chr1	66922989	66926989	+	MIER1
chr1	66531360	66535360	+	SGIP1
chr1	66928255	66932255	+	MIER1
chr1	66922894	66926894	+	MIER1
chr1	66922856	66926856	-	DNAI4
chr1	67164453	67168453	+	IL23R
chr1	67305363	67309363	+	IL12RB2
chr1	67831467	67835467	-	GNG12
chr1	67305872	67309872	+	IL12RB2
chr1	69566752	69570752	+	LRRC7
chr1	69565921	69569921	+	LRRC7
chr1	69566753	69570753	+	LRRC7
chr1	69567340	69571340	+	LRRC7
chr1	71045816	71049816	-	PTGER3
chr1	72280539	72284539	-	NEGR1
chr1	74196176	74200176	-	LRRIQ3
chr1	74731050	74735050	-	CRYZ
chr1	74731408	74735408	-	CRYZ
chr1	74671792	74675792	-	ERICH3
chr1	75722346	75726346	+	ACADM
chr1	75722708	75726708	+	ACADM
chr1	75794881	75798881	+	MSH4
chr1	77217430	77221430	-	PIGK
chr1	76865479	76869479	+	ST6GALNAC5
chr1	77281086	77285086	+	AK5
chr1	77280018	77284018	+	AK5
chr1	77757852	77761852	-	USP33
chr1	77777623	77781623	+	MIGA1
chr1	77777804	77781804	+	MIGA1
chr1	77977157	77981157	+	DNAJB4
chr1	77978183	77982183	+	DNAJB4
chr1	78042969	78046969	+	GIPC2
chr1	78043965	78047965	+	GIPC2
chr1	78488973	78492973	+	PTGFR
chr1	79004730	79008730	-	ADGRL4
chr1	81798396	81802396	+	ADGRL2
chr1	81798933	81802933	+	ADGRL2
chr1	81798375	81802375	+	ADGRL2
chr1	81800452	81804452	+	ADGRL2
chr1	84688461	84692461	-	SSX2IP
chr1	84142270	84146270	+	PRKACB
chr1	84076078	84080078	+	PRKACB
chr1	84688468	84692468	-	SSX2IP
chr1	84504385	84508385	+	SPATA1
chr1	84075974	84079974	+	PRKACB
chr1	84396483	84400483	+	DNASE2B
chr1	84406269	84410269	+	DNASE2B
chr1	85402506	85406506	-	DDAH1
chr1	85576200	85580200	-	DDAH1
chr1	85060297	85064297	+	DNAI3
chr1	85060326	85064326	+	DNAI3
chr1	85463159	85467159	-	DDAH1
chr1	85199016	85203016	-	SYDE2
chr1	86394323	86398323	-	ODF2L
chr1	86394061	86398061	-	ODF2L
chr1	86394342	86398342	-	ODF2L
chr1	86912126	86916126	-	SELENOF
chr1	86912365	86916365	-	SELENOF
chr1	88682272	88686272	+	PKN2
chr1	88889567	88893567	-	GTF2B
chr1	88682143	88686143	+	PKN2
chr1	89819938	89823938	+	LRRC8D
chr1	89819031	89823031	+	LRRC8D
chr1	89270860	89274860	-	GBP5
chr1	89631119	89635119	+	LRRC8C
chr1	91019508	91023508	-	ZNF644
chr1	91020035	91024035	-	ZNF644
chr1	91020255	91024255	-	ZNF644
chr1	92078344	92082344	+	BTBD8
chr1	91947370	91951370	+	BRDT
chr1	91884151	91888151	-	TGFBR3
chr1	91904002	91908002	-	TGFBR3
chr1	91950151	91954151	+	BRDT
chr1	91402837	91406837	-	HFM1
chr1	92790410	92794410	-	EVI5
chr1	92783108	92787108	-	EVI5
chr1	93178715	93182715	+	CCDC18
chr1	92959522	92963522	-	DIPK1A
chr1	93178723	93182723	+	CCDC18
chr1	92959462	92963462	-	DIPK1A
chr1	93446130	93450130	+	FNBP1L
chr1	94119148	94123148	-	ABCA4
chr1	94245746	94249746	-	ARHGAP29
chr1	93845219	93849219	-	BCAR3
chr1	93679837	93683837	-	BCAR3
chr1	93679370	93683370	-	BCAR3
chr1	93612097	93616097	-	BCAR3
chr1	93446117	93450117	+	FNBP1L
chr1	94416388	94420388	+	ABCD3
chr1	95090516	95094516	+	TLCD4
chr1	95115922	95119922	+	TLCD4-RWDD3
chr1	95070951	95074951	-	ALG14
chr1	95115354	95119354	+	TLCD4
chr1	96719783	96723783	+	PTBP2
chr1	96719604	96723604	+	PTBP2
chr1	97919059	97923059	-	DPYD
chr1	99002861	99006861	-	PLPPR5
chr1	98659720	98663720	+	SNX7
chr1	100264215	100268215	+	RTCA
chr1	99967995	99971995	+	SLC35A3
chr1	99763793	99767793	-	FRRS1
chr1	99848488	99852488	+	AGL
chr1	100131149	100135149	+	TRMT13
chr1	100350466	100354466	+	CDC14A
chr1	99968516	99972516	+	SLC35A3
chr1	99764635	99768635	-	FRRS1
chr1	99848360	99852360	+	AGL
chr1	100264157	100268157	+	RTCA
chr1	99848974	99852974	+	AGL
chr1	100350505	100354505	+	CDC14A
chr1	100343014	100347014	+	CDC14A
chr1	100894089	100898089	+	SLC30A7
chr1	101995234	101999234	-	OLFM3
chr1	101845080	101849080	-	OLFM3
chr1	101994926	101998926	-	OLFM3
chr1	103106522	103110522	-	COL11A1
chr1	103523698	103527698	+	RNPC3
chr1	103106496	103110496	-	COL11A1
chr1	107139038	107143038	+	NTNG1
chr1	107138087	107142087	+	NTNG1
chr1	107963180	107967180	-	VAV3
chr1	107686499	107690499	-	VAV3
chr1	107139334	107143334	+	NTNG1
chr1	108190835	108194835	-	SLC25A24
chr1	108874984	108878984	+	GPSM2
chr1	108198343	108202343	-	SLC25A24
chr1	108744673	108748673	+	STXBP3
chr1	108659093	108663093	-	HENMT1
chr1	108659526	108663526	-	HENMT1
chr1	109112114	109116114	+	ELAPOR1
chr1	109391357	109395357	-	SORT1
chr1	109395918	109399918	-	SORT1
chr1	109546614	109550614	+	GNAI3
chr1	110208313	110212313	+	KCNC4
chr1	110629440	110633440	-	KCNA2
chr1	110871099	110875099	+	CD53
chr1	110871147	110875147	+	CD53
chr1	110869198	110873198	+	CD53
chr1	111618146	111622146	+	RAP1A
chr1	111562003	111566003	-	TMIGD3
chr1	111662793	111666793	+	RAP1A
chr1	111540008	111544008	+	RAP1A
chr1	111617782	111621782	+	RAP1A
chr1	111987174	111991174	-	KCND3
chr1	111987668	111991668	-	KCND3
chr1	112394213	112398213	+	CTTNBP2NL
chr1	113071197	113075197	+	LRIG2
chr1	112617141	112621141	-	ST7L
chr1	112617418	112621418	-	ST7L
chr1	112716904	112720904	+	TAFA3
chr1	113902799	113906799	-	AP4B1
chr1	113388514	113392514	+	MAGI3
chr1	113903028	113907028	-	AP4B1
chr1	113810476	113814476	-	RSBN1
chr1	115087500	115091500	-	TSPAN2
chr1	114852802	114856802	+	SYCP1
chr1	114693618	114697618	-	AMPD1
chr1	114852862	114856862	+	SYCP1
chr1	114693546	114697546	-	AMPD1
chr1	114509203	114513203	-	TRIM33
chr1	115087503	115091503	-	TSPAN2
chr1	116109754	116113754	+	MAB21L3
chr1	115974512	115978512	+	SLC22A15
chr1	115766714	115770714	-	CASQ2
chr1	116907915	116911915	+	PTGFRN
chr1	117201836	117205836	-	VTCN1
chr1	117208960	117212960	-	VTCN1
chr1	116569026	116573026	-	CD58
chr1	116665755	116669755	-	IGSF3
chr1	116569093	116573093	-	CD58
chr1	117208927	117212927	-	VTCN1
chr1	116665733	116669733	-	IGSF3
chr1	117927738	117931738	+	WDR3
chr1	118183228	118187228	-	SPAG17
chr1	120067662	120071662	-	NOTCH2
chr1	119809460	119813460	-	REG4
chr1	120413026	120417026	+	NBPF8
chr1	120067703	120071703	-	NOTCH2
chr1	121182974	121186974	+	SRGAP2C
chr1	144459669	144463669	-	NBPF15
chr1	145605959	145609959	+	GPR89A
chr1	145605987	145609987	+	GPR89A
chr1	145093982	145097982	+	FAM72C
chr1	145403778	145407778	-	NBPF20
chr1	145092758	145096758	+	FAM72D
chr1	145093973	145097973	+	FAM72D
chr1	145093380	145097380	-	SRGAP2B
chr1	145883866	145887866	-	ANKRD35
chr1	147539500	147543500	+	BCL9
chr1	147170746	147174746	+	CHD1L
chr1	147223339	147227339	-	FMO5
chr1	147223638	147227638	-	FMO5
chr1	148677746	148681746	-	NOTCH2NLB
chr1	147926373	147930373	+	GPR89B
chr1	148677764	148681764	-	NOTCH2NLB
chr1	147926419	147930419	+	GPR89B
chr1	148150281	148154281	-	NBPF11
chr1	149388637	149392637	+	NOTCH2NLC
chr1	149388620	149392620	+	NOTCH2NLC
chr1	148950456	148954456	+	PDE4DIP
chr1	149473897	149477897	+	NBPF19
chr1	150065381	150069381	+	VPS45
chr1	150874599	150878599	-	ARNT
chr1	150362110	150366110	+	RPRD2
chr1	150065775	150069775	+	VPS45
chr1	150319532	150323532	+	PRPF3
chr1	150763778	150767778	-	CTSS
chr1	150319467	150323467	+	PRPF3
chr1	151252733	151256733	+	PSMD4
chr1	151610049	151614049	+	SNX27
chr1	151788534	151792534	-	TDRKH
chr1	151509386	151513386	+	CGN
chr1	151788500	151792500	-	TDRKH
chr1	152323239	152327239	-	FLG
chr1	152696344	152700344	+	LCE2A
chr1	153726049	153730049	+	INTS3
chr1	153920972	153924972	-	GATAD2B
chr1	155049315	155053315	+	ADAM15
chr1	154866070	154870070	-	KCNN3
chr1	154934719	154938719	-	PMVK
chr1	154940658	154944658	-	PMVK
chr1	154500218	154504218	+	TDRD10
chr1	154868281	154872281	-	KCNN3
chr1	154868278	154872278	-	KCNN3
chr1	154857876	154861876	-	KCNN3
