chr	start_promoter	end_promoter	strand	gene_name
chr1	17599901	17603901	+	PI15
chr1	17725045	17729045	+	CRISPLD1
chr1	18143902	18147902	-	CRISP4
chr1	18235443	18239443	-	DEFB18
chr1	18263138	18267138	-	DEFB41
chr1	19101022	19105022	+	TFAP2D
chr1	19206914	19210914	+	TFAP2B
chr1	20616064	20620064	-	PKHD1
chr1	20728905	20732905	+	IL17A
chr1	20788617	20792617	-	IL17F
chr1	20818312	20822312	-	MCM3
chr1	20888606	20892606	+	PAQR8
chr1	20949626	20953626	+	EFHC1
chr1	21077229	21081229	-	TRAM2
chr1	21216575	21220575	+	TMEM14A
chr1	21238589	21242589	+	GSTA3
chr1	21347641	21351641	+	KHDC1A
chr1	21366331	21370331	+	KHDC1C
chr1	21381556	21385556	+	KHDC1B
chr1	21959942	21963942	-	KCNQ5
chr1	22803724	22807724	-	RIMS1
chr1	23100253	23104253	-	4933415F23RIK
chr1	23395772	23399772	-	OGFRL1
chr1	23759753	23763753	+	B3GAT2
chr1	23920317	23924317	-	SMAP1
chr1	24003656	24007656	-	SDHAF4
chr1	24098341	24102341	-	FAM135A
chr1	24175610	24179610	+	COL9A1
chr1	24585472	24589472	-	COL19A1
chr1	24676630	24680630	+	LMBRD1
chr1	25827707	25831707	-	ADGRB3
chr1	26685460	26689460	-	4931408C20RIK
chr1	28778252	28782252	-	GM597
chr1	30871921	30875921	-	PHF3
chr1	30947770	30951770	-	PTP4A1
chr1	31220684	31224684	-	4931428L18RIK
chr1	31174401	31178401	+	LGSN
chr1	31220838	31224838	+	PIH1D3
chr1	32170714	32174714	+	KHDRBS2
chr1	32545294	32549294	-	GM5415
chr1	33667795	33671795	-	PRIM2
chr1	33717887	33721887	+	RAB23
chr1	33755795	33759795	-	BAG2
chr1	33812595	33816595	-	ZFP451
chr1	33905816	33909816	-	BEND6
chr1	33906225	33910225	+	DST
chr1	34437672	34441672	-	CCDC115
chr1	34437851	34441851	+	IMP4
chr1	34457762	34461762	+	PTPN18
chr1	34496410	34500410	+	PRSS39
chr1	34533648	34537648	+	CFC1
chr1	34558943	34562943	-	PRSS40
chr1	34577657	34581657	+	AMER3
chr1	34676188	34680188	+	ARHGEF4
chr1	34841065	34845065	-	FAM168B
chr1	34847976	34851976	+	PLEKHB2
chr1	36066400	36070400	+	HS6ST1
chr1	36242720	36246720	-	UGGT1
chr1	36272679	36276679	-	NEURL3
chr1	36305733	36309733	+	ARID5A
chr1	36367181	36371181	-	KANSL3
chr1	36370291	36374291	+	FER1L5
chr1	36443271	36447271	-	LMAN2L
chr1	36469620	36473620	+	CNNM4
chr1	36509867	36513867	+	CNNM3
chr1	36534883	36538883	-	ANKRD23
chr1	36537429	36541429	-	GM42417
chr1	36545445	36549445	-	ANKRD39
chr1	36556349	36560349	-	SEMA4C
chr1	36681183	36685183	-	FAM178B
chr1	36689484	36693484	+	COX5B
chr1	36712422	36716422	-	ACTR1B
chr1	36708149	36712149	+	4933424G06RIK
chr1	36759798	36763798	+	ZAP70
chr1	36941666	36945666	-	TMEM131
chr1	37024596	37028596	+	VWA3B
chr1	37212434	37216434	+	CNGA3
chr1	37297865	37301865	+	INPP4A
chr1	37428103	37432103	-	COA5
chr1	37428139	37432139	+	UNC50
chr1	37539016	37543016	-	MGAT4A
chr1	37718085	37722085	-	2010300C02RIK
chr1	37864429	37868429	-	TSGA10
chr1	37869738	37873738	+	LIPT1
chr1	37888411	37892411	-	MITD1
chr1	37888477	37892477	+	MRPL30
chr1	37914493	37918493	-	LYG2
chr1	37955759	37959759	-	LYG1
chr1	37995893	37999893	-	TXNDC9
chr1	37996010	38000010	+	EIF5B
chr1	38127801	38131801	-	REV1
chr1	38662955	38666955	-	AFF3
chr1	38834711	38838711	-	LONRF2
chr1	38896161	38900161	-	CHST10
chr1	38937149	38941149	+	NMS
chr1	38983608	38987608	+	PDCL3
chr1	39191731	39195731	+	NPAS2
chr1	39365842	39369842	+	RPL31
chr1	39476755	39480755	-	TBC1D8
chr1	39532992	39536992	+	CNOT11
chr1	39575405	39579405	-	RNF149
chr1	39649474	39653474	-	CREG2
chr1	39718997	39722997	-	RFX8
chr1	39803332	39807332	-	GM3646
chr1	39898913	39902913	+	MAP4K4
chr1	40072079	40076079	+	IL1R2
chr1	40223080	40227080	+	IL1R1
chr1	40322610	40326610	+	IL1RL2
chr1	40427570	40431570	+	IL1RL1
chr1	40463552	40467552	+	IL18R1
chr1	40513362	40517362	+	IL18RAP
chr1	40578081	40582081	+	SLC9A4
chr1	40678574	40682574	+	SLC9A2
chr1	40788687	40792687	-	MFSD9
chr1	40803601	40807601	+	TMEM182
chr1	42693768	42697768	+	POU3F3
chr1	42849233	42853233	+	MRPS9
chr1	42950872	42954872	+	GPR45
chr1	43096637	43100637	-	TGFBRAP1
chr1	43096710	43100710	+	AI597479
chr1	43194984	43198984	-	FHL2
chr1	43442579	43446579	+	NCK2
chr1	43728602	43732602	+	1500015O10RIK
chr1	43825800	43829800	-	UXS1
chr1	43931647	43935647	+	TPP2
chr1	44018034	44022034	-	METTL21C
chr1	44059936	44063936	-	GM8251
chr1	44100441	44104441	-	TEX30
chr1	44116808	44120808	-	KDELC1
chr1	44116957	44120957	+	BIVM
chr1	44145744	44149744	+	ERCC5
chr1	44216961	44220961	-	METTL21E
chr1	44549511	44553511	+	GULP1
chr1	45309538	45313538	+	COL3A1
chr1	45501282	45505282	-	COL5A2
chr1	45793166	45797166	+	WDR75
chr1	45888273	45892273	-	GM5269
chr1	45924523	45928523	-	SLC40A1
chr1	46064315	46068315	+	DNAH7B
chr1	46423592	46427592	+	DNAH7C
chr1	46890852	46894852	-	SLC39A10
chr1	50898647	50902647	+	TMEFF2
chr1	51287126	51291126	+	SDPR
chr1	51476425	51480425	-	NABP1
chr1	51914071	51918071	-	MYO1B
chr1	51985148	51989148	+	STAT4
chr1	52117440	52121440	+	STAT1
chr1	52231232	52235232	-	GLS
chr1	52498679	52502679	-	NAB1
chr1	52628703	52632703	+	TMEM194B
chr1	52725462	52729462	-	MFSD6
chr1	52815688	52819688	-	INPP1
chr1	52842929	52846929	+	HIBCH
chr1	53018179	53022179	-	1700019D03RIK
chr1	53059640	53063640	+	MSTN
chr1	53185636	53189636	-	1700019A02RIK
chr1	53295018	53299018	-	PMS1
chr1	53295095	53299095	+	ORMDL1
chr1	53295111	53299111	+	GM28778
chr1	53311624	53315624	+	OSGEPL1
chr1	53350667	53354667	-	GM28551
chr1	53350752	53354752	-	ASNSD1
chr1	53704784	53708784	-	DNAH7A
chr1	53783224	53787224	-	STK17B
chr1	54193168	54197168	-	HECW2
chr1	54248683	54252683	+	CCDC150
chr1	54436971	54440971	-	GTF3C3
chr1	54555684	54559684	-	PGAP1
chr1	54924387	54928387	-	ANKRD44
chr1	55025481	55029481	-	SF3B1
chr1	55050770	55054770	+	COQ10B
chr1	55086243	55090243	-	HSPD1
chr1	55086132	55090132	+	HSPE1
chr1	55129231	55133231	+	MOB4
chr1	55224782	55228782	-	RFTN2
chr1	55235177	55239177	+	MARS2
chr1	55361469	55365469	-	BOLL
chr1	55403921	55407921	+	PLCL1
chr1	56635435	56639435	-	HSFY2
chr1	56976650	56980650	-	SATB2
chr1	57375620	57379620	+	1700066M21RIK
chr1	57405101	57409101	-	TYW5
chr1	57404328	57408328	+	9430016H08RIK
chr1	57772162	57776162	+	SPATS2L
chr1	58016956	58020956	-	KCTD18
chr1	57993971	57997971	+	SGOL2A
chr1	58027931	58031931	+	AOX1
chr1	58111130	58115130	+	AOX3
chr1	58208397	58212397	+	AOX4
chr1	58276326	58280326	+	AOX2
chr1	58390898	58394898	+	BZW1
chr1	58422066	58426066	-	CLK1
chr1	58443486	58447486	-	PPIL3
chr1	58443151	58447151	+	NIF3L1
chr1	58503109	58507109	-	ORC2
chr1	58584323	58588323	-	FAM126B
chr1	58584384	58588384	+	NDUFB3
chr1	58693989	58697989	-	ALS2CR12
chr1	58709508	58713508	+	CFLAR
chr1	58793374	58797374	+	CASP8
chr1	58971430	58975430	-	TRAK2
chr1	58971522	58975522	+	STRADB
chr1	59092900	59096900	-	ALS2CR11
chr1	59118408	59122408	-	TMEM237
chr1	59161389	59165389	-	MPP4
chr1	59235231	59239231	-	ALS2
chr1	59254906	59258906	+	CDK15
chr1	59480424	59484424	+	FZD7
chr1	59514264	59518264	+	GM973
chr1	59668834	59672834	-	SUMO1
chr1	59682971	59686971	+	NOP58
chr1	59761400	59765400	+	BMPR2
chr1	59911006	59915006	+	FAM117B
chr1	60041184	60045184	-	ICA1L
chr1	60096645	60100645	-	WDR12
chr1	60096247	60100247	+	CARF
chr1	60178599	60182599	+	NBEAL1
chr1	60341323	60345323	+	CYP20A1
chr1	60407619	60411619	+	ABI2
chr1	60565104	60569104	-	RAPH1
chr1	60714800	60718800	+	CD28
chr1	60885000	60889000	+	CTLA4
chr1	60975927	60979927	+	ICOS
chr1	61636824	61640824	+	PARD3B
chr1	62701285	62705285	+	NRP2
chr1	63112667	63116667	-	INO80D
chr1	63174833	63178833	-	NDUFS1
chr1	63174825	63178825	+	EEF1B2
chr1	63212543	63216543	-	GPR1
chr1	63271265	63275265	+	ZDBF2
chr1	63443891	63447891	+	ADAM23
chr1	63684927	63688927	-	DYTN
chr1	63728318	63732318	-	MDH1B
chr1	63728614	63732614	+	FASTKD2
chr1	63767267	63771267	-	4933402D24RIK
chr1	64120282	64124282	-	KLF7
chr1	64530645	64534645	+	CREB1
chr1	64615242	64619242	-	METTL21A
chr1	64688455	64692455	+	CCNYL1
chr1	64735751	64739751	-	FZD5
chr1	64954824	64958824	-	PLEKHM3
chr1	65030759	65034759	-	AKR1CL
chr1	65049149	65053149	-	CRYGE
chr1	65061452	65065452	-	CRYGD
chr1	65071689	65075689	-	CRYGC
chr1	65080288	65084288	-	CRYGB
chr1	65101373	65105373	-	CRYGA
chr1	65117558	65121558	-	GM28845
chr1	65121214	65125214	-	D630023F18RIK
chr1	65184500	65188500	-	IDH1
chr1	65184683	65188683	+	PIKFYVE
chr1	65280056	65284056	+	PTH2R
chr1	65924520	65928520	+	CRYGF
chr1	66173273	66177273	+	MAP2
chr1	66466367	66470367	+	UNC80
chr1	66698831	66702831	+	RPE
chr1	66815562	66819562	-	KANSL1L
chr1	66861277	66865277	-	ACADL
chr1	66943404	66947404	-	MYL1
chr1	67036872	67040872	-	LANCL1
chr1	67121026	67125026	+	CPS1
chr1	69106059	69110059	-	ERBB4
chr1	69685245	69689245	-	IKZF2
chr1	69824970	69828970	+	SPAG16
chr1	70723715	70727715	+	VWC2L
chr1	71101146	71105146	-	BARD1
chr1	71412910	71416910	-	ABCA12
chr1	71555150	71559150	+	ATIC
chr1	71651200	71655200	-	FN1
chr1	72210307	72214307	-	MREG
chr1	72282314	72286314	-	PECR
chr1	72282369	72286369	+	TMEM169
chr1	72305421	72309421	+	XRCC5
chr1	72534930	72538930	-	MARCH4
chr1	72581251	72585251	+	SMARCAL1
chr1	72698564	72702564	-	ANKAR
chr1	72709260	72713260	+	RPL37A
chr1	72822503	72826503	+	IGFBP2
chr1	72872884	72876884	-	IGFBP5
chr1	73013909	73017909	-	TNP1
chr1	74122449	74126449	-	TNS1
chr1	74123541	74127541	+	RUFY4
chr1	74151989	74155989	+	CXCR2
chr1	74192631	74196631	-	CXCR1
chr1	74234084	74238084	+	ARPC2
chr1	74276550	74280550	+	GPBAR1
chr1	74282738	74286738	-	AAMP
chr1	74282930	74286930	+	PNKD
chr1	74303622	74307622	-	TMBIM1
chr1	74360108	74364108	+	CATIP
chr1	74373195	74377195	+	SLC11A1
chr1	74389509	74393509	+	CTDSP1
chr1	74407376	74411376	+	VIL1
chr1	74542284	74546284	-	USP37
chr1	74504058	74508058	+	RQCD1
chr1	74540888	74544888	+	PLCD4
chr1	74586246	74590246	-	ZFP142
chr1	74586289	74590289	+	BCS1L
chr1	74599397	74603397	-	RNF25
chr1	74599445	74603445	+	STK36
chr1	74659745	74663745	+	TTLL4
chr1	74711574	74715574	+	CYP27A1
chr1	74747221	74751221	-	PRKAG3
chr1	74769892	74773892	+	WNT6
chr1	74789516	74793516	+	WNT10A
chr1	74852934	74856934	+	CDK5R2
chr1	74883419	74887419	-	FEV
chr1	74891143	74895143	-	CRYBA2
chr1	74933599	74937599	-	CCDC108
chr1	74949672	74953672	-	IHH
chr1	75123200	75127200	-	NHEJ1
chr1	75131890	75135890	-	SLC23A3
chr1	75140711	75144711	-	CNPPD1
chr1	75140778	75144778	+	FAM134A
chr1	75166646	75170646	+	ZFAND2B
chr1	75178392	75182392	-	ABCB6
chr1	75190196	75194196	-	ATG9A
chr1	75190151	75194151	+	ANKZF1
chr1	75208813	75212813	-	GLB1L
chr1	75208838	75212838	+	STK16
chr1	75217865	75221865	-	TUBA4A
chr1	75230102	75234102	-	A630095N17RIK
chr1	75234406	75238406	+	DNAJB2
chr1	75262502	75266502	-	PTPRN
chr1	75276415	75280415	-	RESP18
chr1	75315990	75319990	-	DNPEP
chr1	75358329	75362329	+	DES
chr1	75373297	75377297	+	SPEG
chr1	75433930	75437930	+	GMPPA
chr1	75448436	75452436	+	ASIC4
chr1	75477307	75481307	-	CHPF
chr1	75504452	75508452	-	OBSL1
chr1	75477532	75481532	+	TMEM198
chr1	75505077	75509077	+	INHA
chr1	75519529	75523529	+	STK11IP
chr1	75544266	75548266	+	SLC4A3
chr1	77513088	77517088	-	EPHA4
chr1	78195134	78199134	-	PAX3
chr1	78308345	78312345	+	SGPP2
chr1	78486897	78490897	-	FARSB
chr1	78510158	78514158	-	BC035947
chr1	78508991	78512991	+	MOGAT1
chr1	78655825	78659825	+	ACSL3
chr1	78656038	78660038	+	UTP14B
chr1	78814758	78818758	+	KCNE4
chr1	79438120	79442120	-	SCG2
chr1	79669972	79673972	-	AP1S3
chr1	79774143	79778143	-	WDFY1
chr1	79774018	79778018	+	MRPL44
chr1	79859180	79863180	-	SERPINE2
chr1	80216473	80220473	-	FAM124B
chr1	80338480	80342480	-	CUL3
chr1	80459448	80463448	-	RP23-440M14.3
chr1	80756527	80760527	-	DOCK10
chr1	81074950	81078950	+	NYAP2
chr1	82289416	82293416	-	IRS1
chr1	82231112	82235112	+	GM9747
chr1	82314452	82318452	+	RHBDD1
chr1	82584849	82588849	-	COL4A4
chr1	82584921	82588921	+	COL4A3
chr1	82722890	82726890	+	MFF
chr1	82766461	82770461	-	TM4SF20
chr1	82837483	82841483	+	AGFG1
chr1	83036448	83040448	-	SLC19A3
chr1	83058930	83062930	+	KRTAP28-13
chr1	83114766	83118766	+	CCL20
chr1	83157752	83161752	+	DAW1
chr1	83406200	83410200	-	SPHKAP
chr1	84362180	84366180	-	PID1
chr1	84694221	84698221	-	DNER
chr1	84838516	84842516	-	TRIP12
chr1	84837841	84841841	+	FBXO36
chr1	84933134	84937134	-	SLC16A14
chr1	85268566	85272566	-	C130026I21RIK
chr1	85107853	85111853	-	A530032D15RIK
chr1	85098164	85102164	+	GM10553
chr1	85573676	85577676	+	G530012D18RIK
chr1	85596817	85600817	-	SP110
chr1	85598378	85602378	+	SP140
chr1	85647988	85651988	+	SP100
chr1	85776643	85780643	-	A630001G21RIK
chr1	85791441	85795441	+	CAB39
chr1	85892281	85896281	+	ITM2C
chr1	85926483	85930483	+	4933407L21RIK
chr1	85959007	85963007	-	GPR55
chr1	86014816	86018816	+	SPATA3
chr1	86043863	86047863	+	2810459M11RIK
chr1	86062387	86066387	+	PSMD1
chr1	86109970	86113970	-	HTR2B
chr1	86131637	86135637	+	GM21972
chr1	86152780	86156780	+	ARMC9
chr1	86300832	86304832	+	B3GNT7
chr1	86357400	86361400	-	NCL
chr1	86386162	86390162	-	NMUR1
chr1	86424329	86428329	+	1700019O17RIK
chr1	86524726	86528726	+	PTMA
chr1	86580629	86584629	-	PDE6D
chr1	86580904	86584904	+	COPS7B
chr1	86668571	86672571	-	NPPC
chr1	86701808	86705808	+	DIS3L2
chr1	87087928	87091928	-	ALPPL2
chr1	87099606	87103606	-	ALPI
chr1	87122973	87126973	+	AKP3
chr1	87154521	87158521	-	ECEL1
chr1	87181313	87185313	+	PRSS56
chr1	87188607	87192607	+	CHRND
chr1	87202657	87206657	+	CHRNG
chr1	87211914	87215914	+	EIF4E2
chr1	87262363	87266363	+	EFHD1
chr1	87324998	87328998	+	GIGYF2
chr1	87392729	87396729	-	KCNJ13
chr1	87468271	87472271	+	3110079O15RIK
chr1	87571870	87575870	-	NGEF
chr1	87507889	87511889	+	NEU2
chr1	87618312	87622312	+	INPP5D
chr1	87753870	87757870	+	ATG16L1
chr1	87801680	87805680	+	SAG
chr1	87851287	87855287	+	DGKD
chr1	88006551	88010551	-	USP40
chr1	88053388	88057388	+	UGT1A10
chr1	88068800	88072800	+	UGT1A9
chr1	88085813	88089813	+	UGT1A8
chr1	88093062	88097062	+	UGT1A7C
chr1	88101252	88105252	+	UGT1A6B
chr1	88132809	88136809	+	UGT1A6A
chr1	88164012	88168012	+	UGT1A5
chr1	88198601	88202601	+	UGT1A2
chr1	88203782	88207782	-	DNAJB3
chr1	88209959	88213959	+	UGT1A1
chr1	88224986	88228986	+	MROH2A
chr1	88275633	88279633	-	HJURP
chr1	88275661	88279661	+	TRPM8
chr1	88404961	88408961	+	SPP2
chr1	88508066	88512066	-	GLRP1
chr1	88700221	88704221	-	ARL4C
chr1	89068415	89072415	+	SH3BP4
chr1	89452806	89456806	+	AGAP1
chr1	89929179	89933179	-	GBX2
chr1	90012666	90016666	-	ASB18
chr1	90151401	90155401	-	IQCA
chr1	90201980	90205980	+	ACKR3
chr1	90600981	90604981	+	COPS8
chr1	90841971	90845971	-	COL6A3
chr1	90913085	90917085	+	MLPH
chr1	90951108	90955108	+	PRLH
chr1	90967661	90971661	-	RAB17
chr1	90996737	91000737	+	LRRFIP1
chr1	91143089	91147089	+	RBM44
chr1	91177822	91181822	+	RAMP1
chr1	91248304	91252304	+	UBE2F
chr1	91296338	91300338	+	SCLY
chr1	91320075	91324075	+	ESPNL
chr1	91349016	91353016	+	KLHL30
chr1	91364430	91368430	+	FAM132B
chr1	91396815	91400815	-	ILKAP
chr1	91412038	91416038	-	HES6
chr1	91457324	91461324	-	PER2
chr1	91492647	91496647	+	TRAF3IP1
chr1	91538544	91542544	+	ASB1
chr1	91799461	91803461	+	TWIST2
chr1	92178341	92182341	-	HDAC4
chr1	92471860	92475860	-	NDUFA10
chr1	92483113	92487113	-	OLFR1416
chr1	92494101	92498101	-	OLFR1415
chr1	92516515	92520515	-	OLFR1414
chr1	92571125	92575125	+	OLFR1413
chr1	92586207	92590207	+	OLFR1412
chr1	92594495	92598495	+	OLFR1411
chr1	92605839	92609839	+	OLFR1410
chr1	92617881	92621881	+	OLFR12
chr1	92639985	92643985	-	MYEOV2
chr1	92646841	92650841	-	OTOS
chr1	92829645	92833645	+	GPC1
chr1	92900906	92904906	-	ANKMY1
chr1	92904981	92908981	+	DUSP28
chr1	92908783	92912783	+	RNPEPL1
chr1	92932376	92936376	+	CAPN10
chr1	92948865	92952865	+	GPR35
chr1	93004334	93008334	+	AQP12
chr1	93099951	93103951	-	KIF1A
chr1	93133240	93137240	+	AGXT
chr1	93158948	93162948	-	2310007B03RIK
chr1	93166725	93170725	+	CROCC2
chr1	93233841	93237841	+	SNED1
chr1	93303915	93307915	-	MTERF4
chr1	93341482	93345482	-	PASK
chr1	93340854	93344854	+	PPP1R7
chr1	93371930	93375930	+	ANO7
chr1	93476815	93480815	-	HDLBP
chr1	93476964	93480964	+	SEPT2
chr1	93510079	93514079	+	FARP2
chr1	93656659	93660659	-	STK25
chr1	93683660	93687660	+	BOK
chr1	93752864	93756864	-	THAP4
chr1	93749500	93753500	+	ATG4B
chr1	93799934	93803934	-	DTYMK
chr1	93801965	93805965	+	ING5
chr1	93822909	93826909	+	D2HGDH
chr1	93859306	93863306	+	GAL3ST2
chr1	93916311	93920311	+	GM9994
chr1	93988509	93992509	+	GM6086
chr1	94018451	94022451	+	NEU4
chr1	94050553	94054553	-	PDCD1
chr1	95311623	95315623	+	FAM174A
chr1	95665571	95669571	-	ST8SIA4
chr1	96870171	96874171	-	SLCO4C1
chr1	97126301	97130301	-	SLCO6C1
chr1	97660074	97664074	-	D1ERTD622E
chr1	97768411	97772411	-	PPIP5K2
chr1	97768172	97772172	+	GIN1
chr1	98093646	98097646	-	PAM
chr1	98419124	98423124	+	SLCO6D1
chr1	99770765	99774765	+	CNTNAP5B
chr1	104766529	104770529	+	CDH20
chr1	105354710	105358710	-	RNF152
chr1	105661677	105665677	-	PIGN
chr1	105661861	105665861	+	2310035C23RIK
chr1	105778718	105782718	+	TNFRSF11A
chr1	105988406	105992406	+	ZCCHC2
chr1	106169752	106173752	+	PHLPP1
chr1	106712274	106716274	-	BCL2
chr1	106757727	106761727	-	KDSR
chr1	106794728	106798728	-	VPS4B
chr1	106859173	106863173	+	SERPINB5
chr1	106932449	106936449	+	SERPINB12
chr1	106978984	106982984	+	SERPINB13
chr1	107050303	107054303	-	SERPINB3A
chr1	107081506	107085506	-	SERPINB3D
chr1	107276361	107280361	-	SERPINB3B
chr1	107276371	107280371	-	SERPINB3C
chr1	107359198	107363198	+	SERPINB11
chr1	107397655	107401655	+	SERPINB7
chr1	107509423	107513423	+	SERPINB2
chr1	107533508	107537508	+	SERPINB10
chr1	107588006	107592006	+	SERPINB8
chr1	109980431	109984431	+	CDH7
chr1	110975584	110979584	-	CDH19
chr1	111862918	111866918	-	DSEL
chr1	115682756	115686756	+	CNTNAP5A
chr1	116800983	116804983	+	GM19965
chr1	117695131	117699131	+	GM28363
chr1	117779133	117783133	+	B020011L13RIK
chr1	117828081	117832081	+	GM28360
chr1	117926015	117930015	+	GM28168
chr1	117963939	117967939	+	GM7145
chr1	118174542	118178542	+	GM29106
chr1	118309739	118313739	-	TSN
chr1	118319839	118323839	+	NIFK
chr1	118387058	118391058	+	CLASP1
chr1	118625945	118629945	+	TFCP2L1
chr1	119051619	119055619	-	GLI2
chr1	119420248	119424248	-	INHBB
chr1	119502794	119506794	-	RALB
chr1	119524160	119528160	+	TMEM185B
chr1	119647000	119651000	-	EPB41L5
chr1	119835613	119839613	-	PTPN4
chr1	119911208	119915208	-	TMEM177
chr1	119995234	119999234	-	CFAP221
chr1	120004894	120008894	+	SCTR
chr1	120072074	120076074	-	TMEM37
chr1	120119078	120123078	-	DBI
chr1	120119187	120123187	+	3110009E18RIK
chr1	120270705	120274705	-	STEAP3
chr1	120338582	120342582	+	C1QL2
chr1	120503024	120507024	-	MARCO
chr1	120600418	120604418	+	EN1
chr1	121330589	121334589	-	INSIG2
chr1	121429049	121433049	+	CCDC93
chr1	121526465	121530465	-	HTR5B
chr1	121565989	121569989	-	DDX18
chr1	124043559	124047559	-	DPP10
chr1	125433727	125437727	-	ACTR3
chr1	125558595	125562595	+	SLC35F5
chr1	125674995	125678995	+	GPR39
chr1	125911101	125915101	-	LYPD1
chr1	126828799	126832799	-	NCKAP5
chr1	127203015	127207015	+	MGAT5
chr1	127677548	127681548	-	TMEM163
chr1	127727413	127731413	+	ACMSD
chr1	127772164	127776164	+	CCNT2
chr1	127853031	127857031	-	MAP3K19
chr1	127866773	127870773	+	RAB3GAP1
chr1	128101047	128105047	-	ZRANB3
chr1	128101301	128105301	+	R3HDM1
chr1	128241964	128245964	+	UBXN4
chr1	128326318	128330318	-	LCT
chr1	128357664	128361664	-	MCM6
chr1	128415368	128419368	-	DARS
chr1	128590293	128594293	-	CXCR4
chr1	129271302	129275302	+	THSD7B
chr1	130421009	130425009	-	CD55B
chr1	130460744	130464744	-	CD55
chr1	130627621	130631621	-	ZP3R
chr1	130659632	130663632	-	C4BP
chr1	130713799	130717799	-	GM29427
chr1	130727253	130731253	-	PFKFB2
chr1	130715327	130719327	+	YOD1
chr1	130729976	130733976	+	AA986860
chr1	130798902	130802902	+	FCAMR
chr1	130824684	130828684	+	PIGR
chr1	130863669	130867669	+	FCMR
chr1	130885454	130889454	-	IL24
chr1	130909451	130913451	-	IL20
chr1	130938115	130942115	-	IL19
chr1	131017845	131021845	+	IL10
chr1	131095826	131099826	-	MAPKAPK2
chr1	131136340	131140340	-	DYRK3
chr1	131151181	131155181	+	EIF2D
chr1	131243258	131247258	-	RASSF5
chr1	131277606	131281606	-	IKBKE
chr1	131525352	131529352	-	SRGAP2
chr1	131525903	131529903	+	FAM72A
chr1	131597239	131601239	+	AVPR1B
chr1	131636306	131640306	+	CTSE
chr1	131686695	131690695	+	RAB7B
chr1	131742022	131746022	+	SLC26A9
chr1	131795381	131799381	+	PM20D1
chr1	131825493	131829493	+	SLC41A1
chr1	131865224	131869224	+	RAB29
chr1	131908534	131912534	+	NUCKS1
chr1	131960967	131964967	+	SLC45A3
chr1	132005607	132009607	+	ELK4
chr1	132066062	132070062	-	MFSD4A
chr1	132137684	132141684	-	CDK18
chr1	132189431	132193431	+	LEMD1
chr1	132227767	132231767	-	GM10188
chr1	132296626	132300626	+	KLHDC8A
chr1	132314126	132318126	+	NUAK2
chr1	132389281	132393281	-	TMCC2
chr1	132415555	132419555	+	DSTYK
chr1	132475365	132479365	+	RBBP5
chr1	132504230	132508230	+	TMEM81
chr1	132541256	132545256	-	CNTN2
chr1	132739797	132743797	-	NFASC
chr1	132878273	132882273	+	LRRN2
chr1	133028561	133032561	-	MDM4
chr1	133043667	133047667	+	PIK3C2B
chr1	133129143	133133143	+	PPP1R15B
chr1	133179321	133183321	+	PLEKHA6
chr1	133307800	133311800	+	GOLT1A
chr1	133307827	133311827	+	KISS1
chr1	133307827	133311827	+	GM28040
